1	19814003	NA	NA	1981	S	M	3.4
2	19814003	NA	NA	1981	S	M	18.2
3	19814003	NA	NA	1981	S	M	38.9
1	19814062	NA	NA	1981	T	F	3.8
2	19814062	NA	NA	1981	T	F	20.1
3	19814062	NA	NA	1981	T	F	43
1	19814071	NA	NA	1981	S	F	4.1
2	19814071	NA	NA	1981	S	F	20
3	19814071	NA	NA	1981	S	F	49
1	19814123	NA	NA	1981	S	F	4.4
2	19814123	NA	NA	1981	S	F	21.6
3	19814123	NA	NA	1981	S	F	53
1	19824441	NA	NA	1982	T	F	4.6
2	19824441	NA	NA	1982	T	F	20.8
3	19824441	NA	NA	1982	T	F	49
1	19824712	NA	NA	1982	S	F	5.1
2	19824712	NA	NA	1982	S	F	22
3	19824712	NA	NA	1982	S	F	45
1	19824721	NA	NA	1982	S	M	4.1
2	19824721	NA	NA	1982	S	M	20.3
3	19824721	NA	NA	1982	S	M	39
1	19824781	NA	NA	1982	S	F	4.9
2	19824781	NA	NA	1982	S	F	21.1
3	19824781	NA	NA	1982	S	F	48
1	19834123	NA	NA	1983	S	M	4.0
2	19834123	NA	NA	1983	S	M	22
3	19834123	NA	NA	1983	S	M	42
1	19834127	NA	NA	1983	T	F	3.9
2	19834127	NA	NA	1983	T	F	19.1
3	19834127	NA	NA	1983	T	F	42
1	19834128	NA	NA	1983	S	F	4.1
2	19834128	NA	NA	1983	S	F	20.3
3	19834128	NA	NA	1983	S	F	48
1	19834129	NA	NA	1983	T	F	4.6
2	19834129	NA	NA	1983	T	F	19.8
3	19834129	NA	NA	1983	T	F	44
1	19834371	NA	NA	1983	T	M	4.2
2	19834371	NA	NA	1983	T	M	21.7
3	19834371	NA	NA	1983	T	M	50
1	19844127	NA	NA	1984	S	M	4.7
2	19844127	NA	NA	1984	S	M	21.1
3	19844127	NA	NA	1984	S	M	45
1	19844242	19814003	19814123	1984	T	M	4.4
2	19844242	19814003	19814123	1984	T	M	19.2
3	19844242	19814003	19814123	1984	T	M	40
1	19844243	19814003	19814123	1984	T	F	4.1
2	19844243	19814003	19814123	1984	T	F	19.8
3	19844243	19814003	19814123	1984	T	F	41
1	19844244	19814003	19814062	1984	S	F	4.4
2	19844244	19814003	19814062	1984	S	F	19.9
3	19844244	19814003	19814062	1984	S	F	45
1	19844245	19814003	19814071	1984	T	M	4.8
2	19844245	19814003	19814071	1984	T	M	20.2
3	19844245	19814003	19814071	1984	T	M	47
1	19844246	19814003	19814071	1984	T	F	5.2
2	19844246	19814003	19814071	1984	T	F	21.1
3	19844246	19814003	19814071	1984	T	F	49
1	19854127	19824721	19824712	1985	S	F	5.7
2	19854127	19824721	19824712	1985	S	F	22.1
3	19854127	19824721	19824712	1985	S	F	53
1	19854128	19824721	19824713	1985	S	F	5
2	19854128	19824721	19824713	1985	S	F	21.9
3	19854128	19824721	19824713	1985	S	F	50
1	19854242	19814003	19814123	1985	T	M	4.4
2	19854242	19814003	19814123	1985	T	M	19.2
3	19854242	19814003	19814123	1985	T	M	40
1	19854243	19814003	19814123	1985	T	F	4.1
2	19854243	19814003	19814123	1985	T	F	19.8
3	19854243	19814003	19814123	1985	T	F	41
1	19854244	19814003	19814062	1985	S	F	4.4
2	19854244	19814003	19814062	1985	S	F	19.9
3	19854244	19814003	19814062	1985	S	F	45
1	19854245	19814003	19814071	1985	T	M	4.8
2	19854245	19814003	19814071	1985	T	M	20.2
3	19854245	19814003	19814071	1985	T	M	47
1	19854246	19814003	19814071	1985	T	F	5.2
2	19854246	19814003	19814071	1985	T	F	21.1
3	19854246	19814003	19814071	1985	T	F	49
1	19864127	19824721	19824712	1986	S	M	5.7
2	19864127	19824721	19824712	1986	S	M	22.1
3	19864127	19824721	19824712	1986	S	M	53
1	19864128	19824721	19824713	1986	S	F	5
2	19864128	19824721	19824713	1986	S	F	21.9
3	19864128	19824721	19824713	1986	S	F	50
1	19864129	19834123	19834128	1986	S	F	4.7
2	19864129	19834123	19834128	1986	S	F	22.1
3	19864129	19834123	19834128	1986	S	F	38
1	19864140	19834123	19834127	1986	T	M	5.6
2	19864140	19834123	19834127	1986	T	M	22
3	19864140	19834123	19834127	1986	T	M	51
1	19864141	19834123	19834127	1986	T	F	5
2	19864141	19834123	19834127	1986	T	F	21.1
3	19864141	19834123	19834127	1986	T	F	39
1	19864142	19834371	19834129	1986	S	M	5.5
2	19864142	19834371	19834129	1986	S	M	22
3	19864142	19834371	19834129	1986	S	M	53
1	19864143	19834371	19844243	1986	S	F	4.5
2	19864143	19834371	19844243	1986	S	F	19.8
3	19864143	19834371	19844243	1986	S	F	37
1	19874117	19844127	19854127	1988	S	M	3.8
2	19874117	19844127	19854127	1988	S	M	18.5
3	19874117	19844127	19854127	1988	S	M	42
1	19874129	19834123	19834128	1987	S	F	4.7
2	19874129	19834123	19834128	1987	S	F	22.1
3	19874129	19834123	19834128	1987	S	F	38
1	19874140	19834123	19834127	1987	T	M	5.6
2	19874140	19834123	19834127	1987	T	M	22
