880002	1990	3	26	4134
880007	1990	3	26	4704
880009	1990	4	27	2328
880011	1990	3	26	3786
880016	1990	1	24	4216
880017	1990	3	26	4388
880018	1990	3	26	4053
880023	1990	1	24	3678
880024	1990	7	30	4230
880025	1990	2	25	3797
880028	1990	7	30	3446
880032	1990	1	24	3908
880036	1992	4	51	4975
880040	1990	4	27	4498
880041	1990	5	28	2337
880045	1990	6	29	2814
880046	1990	2	25	3645
880049	1990	2	25	4020
880051	1990	1	24	3852
880052	1990	5	28	3082
880054	1990	1	24	2568
880062	1990	5	28	4096
880063	1990	1	24	2880
880070	1990	2	25	4504
880074	1990	3	26	3840
880075	1990	5	28	4180
880078	1990	3	26	4042
880079	1990	3	26	3907
880080	1990	2	25	3486
880085	1990	2	24	3545
880094	1990	4	26	4554
880096	1990	3	25	4700
880098	1990	7	29	2505
880101	1990	2	24	4100
880102	1990	3	25	4174
880104	1990	1	23	4001
880109	1990	4	26	3231
880110	1990	3	25	3617
880115	1990	4	26	4117
880118	1990	2	24	3809
880122	1990	7	29	4485
880124	1990	3	25	4146
880130	1990	5	27	2549
880133	1990	11	33	3576
880136	1990	3	25	4622
880137	1990	5	27	4115
880144	1990	4	26	4447
880146	1990	5	27	3941
880147	1990	12	34	3358
880148	1990	3	25	4101
880150	1990	6	28	3415
880158	1990	5	27	3829
880160	1990	5	27	3304
880166	1990	5	27	3475
880168	1990	6	27	1922
880171	1990	4	25	3676
880173	1990	5	26	4343
880186	1990	5	26	3486
880191	1991	3	36	4054
880192	1990	6	27	3287
880193	1990	4	25	3307
880202	1990	4	25	4118
880205	1990	7	28	2760
880230	1990	4	25	3945
880231	1990	4	25	3689
880233	1990	4	25	2812
880234	1990	4	25	3615
880235	1990	7	28	3504
880236	1990	11	32	3499
880237	1990	7	28	2222
880243	1990	10	31	3863
880246	1990	8	29	2962
880247	1990	4	25	4659
880248	1990	7	28	3319
880252	1990	8	28	3904
880260	1990	6	26	2819
880262	1990	5	25	3534
880269	1990	5	25	3111
880287	1990	3	23	4282
880295	1990	8	28	4469
880300	1991	3	35	3930
880301	1990	5	25	3918
880304	1990	5	25	3437
880308	1990	6	26	4413
880309	1990	6	26	3780
880310	1990	6	26	3435
880313	1990	11	31	2994
880330	1991	4	36	4234
880331	1991	4	36	4441
880334	1990	5	24	2448
880347	1991	2	33	3699
880349	1990	5	24	4196
880350	1991	9	40	3225
880355	1990	9	28	3866
880359	1990	7	26	4093
880369	1990	8	27	3224
880381	1990	4	23	4052
880384	1990	8	27	3597
880385	1990	6	25	4550
880394	1990	8	27	3525
880397	1990	7	26	2910
880400	1990	7	26	3394
880402	1990	12	31	2222
880404	1990	7	26	3151
880405	1990	11	30	2844
880409	1990	10	29	1771
880441	1991	5	35	4390
880446	1990	11	29	3426
880461	1990	9	27	2363
880466	1990	8	26	3900
880474	1990	8	26	2099
880485	1990	10	28	4440
880486	1990	6	24	3196
880498	1990	11	29	3836
880506	1990	9	26	3210
880510	1990	11	28	3281
880521	1991	1	30	4256
880522	1990	9	26	3537
880523	1991	4	33	4240
880528	1990	4	21	2994
880555	1990	11	28	3442
880558	1990	11	28	3634
880563	1990	10	27	2514
880569	1990	7	24	3337
880570	1991	3	32	5508
880571	1990	12	29	3603
880582	1990	11	27	4093
880586	1990	11	27	2742
880602	1990	11	27	4080
880603	1991	3	31	4237
880607	1991	2	30	4950
880610	1990	11	27	4652
880611	1990	11	27	2208
880612	1991	7	35	5030
880615	1990	8	24	2628
880622	1991	1	29	3271
880625	1990	11	27	3021
880626	1990	8	24	3799
880633	1991	7	35	3158
880634	1990	11	27	2781
880642	1990	7	23	3126
880652	1990	8	24	4380
880653	1990	11	27	4443
880654	1991	5	33	4527
880655	1990	8	24	4351
880659	1991	6	34	3323
880668	1990	11	26	2671
880669	1990	12	27	2976
880672	1990	11	26	3331
880676	1991	1	28	4442
880679	1991	12	39	5116
880686	1991	6	33	4675
880694	1990	12	27	4295
880695	1991	6	33	3375
880701	1991	3	30	5142
880706	1991	6	33	5136
880709	1990	12	27	2609
880711	1990	8	23	2588
880713	1991	3	30	4152
880716	1991	7	34	3930
880722	1990	12	27	4132
880724	1990	12	27	4365
880728	1991	4	31	2983
880730	1991	9	36	3437
880734	1991	5	32	3642
