36 0 0
83 0 0
126 0 0
239 0 0
318 0 0
319 0 0
360 0 0
386 0 0
397 0 0
486 0 0
975 0 0
1024 0 0
1043 0 0
1101 0 0
1131 0 0
1725 0 0
1971 0 0
2283 0 0
2287 0 0
2291 0 0
2403 0 0
2438 0 0
2526 0 0
2781 0 0
2868 0 0
3438 0 0
3481 0 0
3634 0 0
3697 0 0
3841 0 0
3970 0 0
3978 0 0
3998 0 0
4020 0 0
4050 0 0
4096 0 0
4133 0 0
4152 0 0
4167 0 0
4204 0 0
780004 0 0
820051 0 0
820172 0 0
820205 0 0
820307 0 0
820310 0 0
820328 0 0
820419 0 0
820434 0 0
830010 0 0
830022 0 0
830056 0 0
830057 0 0
830066 0 0
830105 0 0
830187 0 0
830211 0 0
830215 0 0
830241 0 0
830259 0 0
830268 0 0
830348 0 0
830374 0 0
830385 0 0
830396 0 0
830418 0 0
830422 0 0
830424 0 0
830436 0 0
840011 0 0
840014 0 0
840057 0 0
840069 0 0
840070 0 0
840113 0 0
840124 0 0
840126 0 0
840265 0 0
840363 0 0
840395 0 0
840558 0 0
840567 0 0
840580 0 0
840687 0 0
840749 0 0
840766 0 0
840795 0 0
840864 0 0
840897 0 0
840940 0 0
840976 0 0
841022 0 0
841062 0 0
841064 0 0
841099 0 0
841101 0 0
841102 0 0
841126 0 0
841131 0 0
841152 0 0
841162 0 0
841181 0 0
850013 0 0
850072 0 0
850093 0 0
850108 0 0
850163 0 0
850201 0 0
850206 0 0
850208 0 0
850236 0 0
850238 0 0
850319 0 0
850328 0 0
850489 0 0
850520 0 0
850525 0 0
850575 0 0
850628 0 0
850673 0 0
850688 0 0
850699 0 0
850701 0 0
850774 0 0
850790 0 0
850808 0 0
850818 0 0
850849 0 0
850861 0 0
850873 0 0
850878 0 0
850893 0 0
850903 0 0
850907 0 0
850926 0 0
850945 0 0
850947 0 0
850982 0 0
851035 0 0
851039 0 0
851042 0 0
851044 0 0
851055 0 0
851070 0 0
851083 0 0
851093 0 0
851102 0 0
851110 0 0
851129 0 0
851163 0 0
851173 0 0
851179 0 0
860001 0 0
860017 0 0
860020 0 0
860026 0 0
860035 0 0
860041 0 0
860043 0 0
860054 0 0
860061 0 0
860065 0 0
860071 0 0
860078 0 0
860081 0 0
860083 0 0
860084 0 0
860088 0 0
860097 0 0
860125 0 0
860140 0 0
860142 0 0
860190 0 0
860196 0 0
860207 0 0
860224 0 0
860266 0 0
860327 0 0
860339 0 0
860431 0 0
860521 0 0
860523 0 0
860538 0 0
860629 0 0
860643 0 0
860746 0 0
860779 0 0
860781 0 0
860806 0 0
860818 0 0
860822 0 0
860911 0 0
860955 0 0
860968 0 0
861061 0 0
861128 0 0
861177 0 0
861237 0 0
861238 0 0
861239 0 0
861279 0 0
861294 0 0
870015 0 0
870024 0 0
870042 0 0
870077 0 0
870087 0 0
870106 0 0
870138 0 0
870146 0 0
870200 0 0
870228 0 0
870249 0 0
870265 0 0
870279 0 0
870287 0 0
870290 0 0
870307 0 0
870403 0 0
870410 0 0
870468 0 0
870515 0 0
870524 0 0
870565 0 0
870570 0 0
870596 0 0
870675 0 0
870706 0 0
870711 0 0
870721 0 0
870725 0 0
870740 0 0
870768 0 0
870784 0 0
870792 0 0
870810 0 0
870813 0 0
870849 0 0
870858 0 0
870863 0 0
870877 0 0
870880 0 0
870888 0 0
870898 0 0
870910 0 0
870930 0 0
870946 0 0
870953 0 0
870965 0 0
880002 360 840014
880007 319 0
880009 319 0
880011 1101 0
880016 319 850790
880017 126 0
880018 319 0
880023 780004 0
880024 1101 850808
880025 1131 0
880028 360 0
880032 360 820307
880036 126 0
880040 386 841062
880041 319 0
880045 386 840940
880046 319 850878
880049 1101 850701
880051 1101 850699
880052 319 0
880054 319 0
880062 1043 0
880063 386 0
880070 126 830374
880074 318 0
880075 386 0
880078 780004 0
880079 83 830259
880080 386 840864
880085 486 0
880094 1101 0
880096 386 0
880098 397 0
880101 486 820419
880102 318 830056
880104 486 0
880108 0 0
880109 397 0
880110 126 0
880112 0 0
880114 0 0
880115 850319 0
880118 975 0
880122 780004 0
880124 83 830436
880130 83 0
880133 850319 0
