1	19814062	1981	2	2	3.8
2	19814062	1981	2	2	20.1
3	19814062	1981	2	2	43.0
1	19814071	1981	1	2	4.1
2	19814071	1981	1	2	20.0
3	19814071	1981	1	2	51.0
1	19814123	1981	1	2	4.4
2	19814123	1981	1	2	21.6
3	19814123	1981	1	2	53.0
1	19824441	1982	2	2	4.6
2	19824441	1982	2	2	20.8
3	19824441	1982	2	2	49.0
1	19824712	1982	1	2	5.1
2	19824712	1982	1	2	22.0
3	19824712	1982	1	2	45.0
1	19824781	1982	1	2	4.9
2	19824781	1982	1	2	21.1
3	19824781	1982	1	2	48.0
1	19834127	1983	2	2	3.9
2	19834127	1983	2	2	19.1
3	19834127	1983	2	2	42.0
1	19834128	1983	1	2	4.1
2	19834128	1983	1	2	20.3
3	19834128	1983	1	2	48.0
1	19834129	1983	2	2	4.6
2	19834129	1983	2	2	19.8
3	19834129	1983	2	2	44.0
1	19834371	1983	2	1	4.2
2	19834371	1983	2	1	21.7
3	19834371	1983	2	1	50.0
1	19844127	1984	1	1	4.7
2	19844127	1984	1	1	21.1
3	19844127	1984	1	1	45.0
1	19844242	1984	2	1	4.4
2	19844242	1984	2	1	19.2
3	19844242	1984	2	1	40.0
1	19844243	1984	2	2	4.1
2	19844243	1984	2	2	19.8
3	19844243	1984	2	2	41.0
1	19844244	1984	1	2	4.4
2	19844244	1984	1	2	19.9
3	19844244	1984	1	2	45.0
1	19844245	1984	2	1	4.8
2	19844245	1984	2	1	20.2
3	19844245	1984	2	1	47.0
1	19844246	1984	2	2	5.2
2	19844246	1984	2	2	21.1
3	19844246	1984	2	2	49.0
1	19854127	1985	1	2	5.7
2	19854127	1985	1	2	22.1
3	19854127	1985	1	2	53.0
1	19854128	1985	1	2	5.0
2	19854128	1985	1	2	21.9
3	19854128	1985	1	2	50.0
1	19854242	1985	2	1	4.4
2	19854242	1985	2	1	19.2
3	19854242	1985	2	1	40.0
1	19854243	1985	2	2	4.1
2	19854243	1985	2	2	19.8
3	19854243	1985	2	2	41.0
1	19854244	1985	1	2	4.4
2	19854244	1985	1	2	19.9
3	19854244	1985	1	2	45.0
1	19854245	1985	2	1	4.8
2	19854245	1985	2	1	20.2
3	19854245	1985	2	1	47.0
1	19854246	1985	2	2	5.2
2	19854246	1985	2	2	21.1
3	19854246	1985	2	2	49.0
1	19864127	1986	1	1	5.7
2	19864127	1986	1	1	22.1
3	19864127	1986	1	1	53.0
1	19864128	1986	1	2	5.0
2	19864128	1986	1	2	21.9
3	19864128	1986	1	2	50.0
1	19864129	1986	1	2	4.7
2	19864129	1986	1	2	22.1
3	19864129	1986	1	2	38.0
1	19864140	1986	2	1	5.6
2	19864140	1986	2	1	22.0
3	19864140	1986	2	1	51.0
1	19864141	1986	2	2	5.0
2	19864141	1986	2	2	21.1
3	19864141	1986	2	2	39.0
1	19864142	1986	1	1	5.5
2	19864142	1986	1	1	22.0
3	19864142	1986	1	1	53.0
1	19864143	1986	1	2	4.5
2	19864143	1986	1	2	19.8
3	19864143	1986	1	2	37.0
1	19874129	1987	1	2	4.7
2	19874129	1987	1	2	22.1
3	19874129	1987	1	2	38.0
1	19874140	1987	2	1	5.6
2	19874140	1987	2	1	22.0
3	19874140	1987	2	1	51.0
1	19874141	1987	2	2	5.0
2	19874141	1987	2	2	21.1
3	19874141	1987	2	2	39.0
1	19874144	1987	1	1	4.1
2	19874144	1987	1	1	20.3
3	19874144	1987	1	1	39.0
1	19874145	1987	1	2	3.9
2	19874145	1987	1	2	19.1
3	19874145	1987	1	2	36.0
1	19874146	1988	2	2	4.5
2	19874146	1988	2	2	20.5
3	19874146	1988	2	2	45.0
2	19884119	1988	1	2	19.6
3	19884119	1988	1	2	38.0
