860001	1130	3137	1990	9	56	3	4346
860012	57	830407	1990	8	55	3	5055
860017	181	840135	1990	7	54	3	4640
860031	83	830412	1990	2	49	3	4024
860033	486	840013	1990	7	54	3	4000
860052	397	2857	1990	8	55	3	3440
860058	794	830072	1990	5	52	3	5068
860065	330	830300	1990	2	49	3	4560
860067	318	820293	1990	6	53	3	4221
860083	780004	830011	1990	9	56	3	3458
860084	486	830131	1990	6	52	3	4596
860087	623	915	1990	6	52	3	5145
860088	83	830454	1990	7	53	3	4350
860090	330	3182	1990	1	47	3	3792
860107	330	750380	1990	5	51	3	3954
860120	794	820419	1991	3	61	3	3642
860121	486	840014	1990	9	55	3	4257
860125	780004	830039	1990	3	49	3	6221
860130	27	78	1990	7	53	3	5054
860141	48	820480	1990	6	52	3	4158
860142	48	820480	1990	7	53	3	3556
860143	48	4754	1990	4	50	3	4103
860196	1067	820428	1990	8	53	3	4811
860207	1130	1760	1990	4	49	3	4866
860215	623	750095	1990	2	47	3	4667
860220	397	830064	1990	11	56	3	5010
860224	760079	2402	1990	4	49	3	4594
860227	623	820434	1990	2	47	3	4782
860244	623	820439	1990	3	48	3	4858
860325	975	760186	1990	4	48	3	4100
860327	780004	830055	1990	6	50	3	4020
860328	486	840009	1990	9	53	3	3438
860331	679	859	1990	2	46	3	3825
860335	623	5217	1990	5	48	3	4516
860339	623	983	1990	1	44	3	4806
860391	57	840305	1990	8	51	3	2849
860431	83	840272	1990	2	44	3	5748
860464	57	840665	1990	11	53	3	3722
860508	181	840717	1990	11	52	3	3787
860521	27	1038	1990	7	48	3	4733
860538	780004	820110	1990	11	52	3	4035
860544	780004	1548	1991	1	54	3	4656
860559	181	840606	1990	8	49	3	4230
860583	83	840366	1990	2	42	3	4029
860584	83	840833	1990	1	41	3	4485
860629	57	840634	1990	4	44	3	4740
860637	27	5742	1990	5	45	3	4310
860641	181	840707	1990	9	49	3	3648
860643	57	840140	1990	9	49	3	4465
860700	623	735	1990	3	42	3	4644
860734	360	3338	1990	8	47	3	2713
860746	1043	750111	1990	1	40	3	5540
860751	181	840527	1990	9	47	3	3588
860762	27	2275	1990	3	41	3	4359
860781	95	2793	1990	3	41	3	4670
860783	780004	830137	1990	3	41	3	4189
860794	95	2445	1990	3	41	3	6132
860818	83	840766	1991	1	51	3	3643
860839	27	2616	1990	1	38	3	3695
860911	975	2451	1990	12	49	3	3728
860919	330	2697	1990	10	46	3	5078
860926	57	840713	1990	1	37	3	4021
860955	330	830400	1990	5	41	3	4941
860975	330	830130	1990	1	37	3	4157
870015	360	830066	1990	1	36	2	3536
870015	360	830066	1991	12	47	3	4450
870024	27	820457	1990	1	36	2	4398
870024	27	820457	1991	11	46	3	3537
870025	181	850135	1990	3	38	2	4375
870025	181	850135	1991	3	50	3	3822
870036	1087	1941	1990	3	38	2	4155
870036	1087	1941	1991	5	52	3	3970
870042	397	820055	1990	12	47	2	4344
870042	397	820055	1992	1	60	3	3922
870045	95	2055	1990	12	47	2	4332
870053	27	820435	1990	11	46	2	4580
870057	330	840091	1990	2	37	2	3803
870057	330	840091	1991	3	50	3	4835
870064	330	820152	1990	11	46	2	3603
870065	27	1822	1990	4	39	2	4367
870065	27	1822	1991	3	50	3	5020
870072	397	830098	1990	10	45	2	4398
870072	397	830098	1991	9	56	3	2873
870077	360	840013	1990	4	39	2	4489
870077	360	840013	1991	6	53	3	5065
870082	360	830283	1990	6	41	2	3276
870083	397	830457	1990	2	37	2	4181
870085	360	830021	1990	1	35	2	3915
870085	360	830021	1991	12	46	3	3425
870086	1043	2763	1990	8	42	2	4415
870087	1043	3273	1990	5	39	2	4298
870087	1043	3273	1991	4	50	3	4960
870090	155	820373	1990	8	42	2	5157
870101	95	2244	1990	1	35	2	4174
870101	95	2244	1991	12	46	3	3162
870105	397	840124	1990	12	46	2	3571
870106	330	840962	1990	2	36	2	4410
870106	330	840962	1991	2	48	3	4104
870107	5855	4601	1990	7	41	2	2021
870107	5855	4601	1991	6	52	3	4272
870113	486	841066	1990	3	37	2	4349
870120	397	830449	1990	7	41	2	3915
870129	623	452	1990	4	38	2	3975
870129	623	452	1991	4	50	3	4055
870135	48	820004	1991	1	47	2	4125
870135	48	820004	1992	12	58	3	3055
870138	397	830215	1990	5	39	2	3401
870138	397	830215	1991	4	50	3	3984
870141	780004	2480	1990	5	39	2	3595
870141	780004	2480	1991	10	56	3	3808
870146	83	841107	1990	2	36	2	4440
870146	83	841107	1991	1	47	3	4290
870152	386	840325	1990	9	43	2	3151
870153	57	841077	1991	2	48	2	5053
870154	360	820434	1990	4	38	2	4229
870154	360	820434	1991	5	51	3	4061
870161	83	830056	1990	4	38	2	4366
870161	83	830056	1991	4	50	3	5374
870166	386	1726	1990	3	37	2	4413
870166	386	1726	1991	3	49	3	4415
870172	780004	820465	1990	2	35	2	3957
870175	486	841011	1990	3	36	2	4078
870181	57	850170	1990	5	38	2	2677
870182	486	840930	1990	8	41	2	3422
870182	486	840930	1991	8	53	3	3257
870183	780004	3335	1990	3	36	2	2790
870188	780004	830259	1990	1	34	2	3900
870188	780004	830259	1991	11	44	3	2416
870190	486	850048	1990	3	36	2	4490
870190	486	850048	1991	12	45	3	2706
870199	155	2808	1990	11	44	2	3050
870200	386	830256	1990	3	36	2	4474
870200	386	830256	1991	8	53	3	4368
870203	57	841161	1990	3	36	2	3024
870204	780004	1718	1990	4	37	2	3885
870204	780004	1718	1991	3	48	3	3780
870216	486	840990	1990	3	36	2	3934
870216	486	840990	1991	3	48	3	3993
870229	780004	850138	1990	4	37	2	3682
870237	360	830464	1990	2	35	2	4592
870237	360	830464	1991	4	49	3	3214
870238	780004	820322	1990	3	36	2	2749
870246	5855	713	1990	2	35	2	4044
870246	5855	713	1991	11	44	3	2300
870248	181	850030	1991	1	46	2	3895
870249	386	840026	1990	2	35	2	4281
870249	386	840026	1991	2	47	3	5069
870258	397	830261	1990	4	36	2	3237
870258	397	830261	1991	4	48	3	2655
870262	486	850152	1990	4	36	2	4292
870262	486	850152	1991	6	50	3	5397
870265	386	830450	1990	2	34	2	4776
870265	386	830450	1991	2	46	3	5042
870274	57	850077	1990	7	39	2	4255
870274	57	850077	1991	7	51	3	5082
870279	330	840184	1990	6	38	2	4400
870279	330	840184	1991	6	50	3	4656
