19814003	0	0
19814062	0	0
19814071	0	0
19814123	0	0
19824441	0	0
19824712	0	0
19824721	0	0
19824781	0	0
19834123	0	0
19834127	0	0
19834128	0	0
19834129	0	0
19834371	0	0
19844127	0	0
19844242	19814003	19814123
19844243	19814003	19814123
19844244	19814003	19814062
19844245	19814003	19814071
19844246	19814003	19814071
19854127	19824721	19824712
19854128	19824721	19824713
19854242	19814003	19814123
19854243	19814003	19814123
19854244	19814003	19814062
19854245	19814003	19814071
19854246	19814003	19814071
19864127	19824721	19824712
19864128	19824721	19824713
19864129	19834123	19834128
19864140	19834123	19834127
19864141	19834123	19834127
19864142	19834371	19834129
19864143	19834371	19844243
19874129	19834123	19834128
19874140	19834123	19834127
19874141	19834123	19834127
19874144	19844127	19844244
19874145	19844127	19844246
19874146	19844127	19834247
19884118	19844127	19854128
19884119	19844127	19864129
